sector,n,long_return,short_return,ls_return,ic,snapshot,forward,n_sectors,snapshot_ls_gross,snapshot_ls_net,snapshot_mean_ic,snapshot_cumulative_net
basic-materials,24,-0.09346329275733758,-0.017708815723283453,-0.07575447703405414,0.5565217391304348,2023-05-01,2023-06-01,9,-0.018778980371195252,-0.019778980371195253,0.08188824551565117,0.9802210196288047
consumer-cyclical,69,-0.03298137713486064,-0.0871820618237874,0.05420068468892676,-0.19112166605772746,2023-05-01,2023-06-01,9,-0.018778980371195252,-0.019778980371195253,0.08188824551565117,0.9802210196288047
consumer-defensive,33,-0.009515401216666686,-0.002942567749206224,-0.006572833467460462,0.2800802139037434,2023-05-01,2023-06-01,9,-0.018778980371195252,-0.019778980371195253,0.08188824551565117,0.9802210196288047
energy,20,-0.07354745821090126,-0.04938863405187248,-0.024158824159028786,0.010526315789473682,2023-05-01,2023-06-01,9,-0.018778980371195252,-0.019778980371195253,0.08188824551565117,0.9802210196288047
financial-services,29,-0.0010362408898193676,-0.04035985329873066,0.039323612408911295,-0.3305418719211822,2023-05-01,2023-06-01,9,-0.018778980371195252,-0.019778980371195253,0.08188824551565117,0.9802210196288047
healthcare,51,-0.06228969387045146,-0.014184696788535706,-0.048104997081915755,0.1102262443438914,2023-05-01,2023-06-01,9,-0.018778980371195252,-0.019778980371195253,0.08188824551565117,0.9802210196288047
industrials,115,-0.013137668584495037,0.018307778817863416,-0.031445447402358453,0.1334885188984455,2023-05-01,2023-06-01,9,-0.018778980371195252,-0.019778980371195253,0.08188824551565117,0.9802210196288047
real-estate,39,-0.015021936451356204,-0.013710189893655661,-0.0013117465577005428,-0.004251012145748988,2023-05-01,2023-06-01,9,-0.018778980371195252,-0.019778980371195253,0.08188824551565117,0.9802210196288047
technology,71,0.08004472065094732,0.1552315153870245,-0.07518679473607719,0.1720657276995305,2023-05-01,2023-06-01,9,-0.018778980371195252,-0.019778980371195253,0.08188824551565117,0.9802210196288047
basic-materials,25,0.161006925943865,0.10401159362607273,0.056995332317792274,-0.11923076923076922,2023-06-01,2023-07-03,9,0.02853275014880954,0.02753275014880954,-0.17194539105740206,1.007209200052856
consumer-cyclical,69,0.15870994594477464,0.09106487630918811,0.06764506963558653,-0.34965290464011695,2023-06-01,2023-07-03,9,0.02853275014880954,0.02753275014880954,-0.17194539105740206,1.007209200052856
