Sector,Ticker,Risk_Score,Momentum_Score,Quality_Score,PE,PE_ZScore,composite_z_score
basic-materials,AA,-0.3362207065704607,0.5833110577727435,-0.026067345101513,18.302563,-0.5284595051555353,-0.07686397131942853
basic-materials,AMCR,-0.1179865983787449,-0.4800484154207347,-0.2622450133528314,30.951614,-0.1141306927669204,-0.22863842800037873
basic-materials,APD,-0.5339437570729498,-0.1810645628053164,0.0895115338231096,30.502636,-0.1288372918255071,-0.24001311238776613
basic-materials,ATR,-0.4693286988599598,-0.8357879191578365,0.0634331104312335,19.902397,-0.4760557856006906,-0.31973594861023813
basic-materials,AVY,-0.3640949062591136,-0.5403251012049174,0.4717437937903654,17.97973,-0.5390341335201339,-0.06877381676947568
basic-materials,AXTA,-0.1188769934347081,-0.1467437871079921,0.1229073041464571,17.087719,-0.568252598863311,-0.029934569125219364
basic-materials,BALL,-0.3583852454906899,-0.4435655680635892,-0.0719352189524163,16.475218,-0.5883155120349662,-0.2609446973224184
basic-materials,CCK,-0.3751128748313217,-0.62283574703083,0.2920008671579154,15.375198,-0.6243474625902866,-0.15568732656879056
basic-materials,CF,-0.2782198684845516,0.3248770610763892,1.0792521501104428,10.9639635,-0.7688406385251995,0.33663892439564935
basic-materials,CRH,-0.3982075675613138,-0.5154196259126973,-0.1994215270591413,18.587038,-0.5191413208186826,-0.3394222803385895
basic-materials,CRS,-0.352535993513416,0.4957670086066875,0.8057654357690374,45.64879,0.3672859350533369,0.22285268951702858
basic-materials,CTVA,-0.9353368085794574,-0.308692006580463,0.0237290232285474,43.005405,0.2806999478724901,-0.4704368832604529
basic-materials,ECL,-0.7426464711294792,-0.5533029285065107,0.4107602750720101,34.325203,-0.003626345535077,-0.2693486238526017
basic-materials,EMN,-0.0297432879374809,-0.2773030118860746,-0.3083834400378473,21.421967,-0.426281171406996,-0.17477205859288805
basic-materials,ESI,-0.4250886964471694,0.5211668710349325,-0.1649351771634351,65.72581,1.0249232434097082,-0.18093738967276415
basic-materials,EXP,-0.0781791110833006,-0.1882011481728829,0.6560876161626312,15.154255,-0.6315846103253678,0.1880656154391875
basic-materials,FCX,-0.1963466280014835,0.3249402204270009,0.5901986297517711,32.798943,-0.0536200955164983,0.18604526909733635
basic-materials,GPK,1.257785065189785,-0.2495675293683877,-0.3814852531743843,11.054348,-0.765880028868132,0.3968201015128716
basic-materials,IFF,-0.478625094946898,0.0635528462373496,-0.406903836148528,23.306501,-0.3645518974775947,-0.3685386673544727
basic-materials,JHX,0.7183812555460944,-0.3285818241698255,-0.0723650698959795,109.26316,2.4510206257388227,0.2544335110655937
basic-materials,LIN,-0.9351193410985292,0.1324690030498579,0.5399249466610673,34.32228,-0.0037220905137803,-0.20431722200583555
basic-materials,LPX,-0.1060757864340665,-0.5451774422001875,-0.3561605357143326,60.26496,0.8460491527658833,-0.26922651456567415
basic-materials,MLM,-0.662965783793649,1.4667634567570254,-0.1134575059992174,33.69849,-0.0241547830438282,-0.12733694817969757
basic-materials,NEM,-0.2061200999991908,0.3851487352435306,1.9012241113654216,13.961089,-0.6706676254671736,0.6959293643079689
basic-materials,NEU,-0.2459624057004345,0.5840952244561167,0.791222646360009,16.846767,-0.5761451558624615,0.2799753948139692
basic-materials,NUE,-0.7606136302865195,2.082212027742887,0.0071847573568368,23.015873,-0.3740716277788544,-0.03242229323355761
basic-materials,PKG,-0.6584149279257415,0.0579343622710326,0.2600597190112679,26.23451,-0.2686428453571491,-0.1955173364751893
basic-materials,PPG,-0.374823200101859,-0.2015807904638018,0.1955056890814257,15.44126,-0.6221835540090012,-0.12868308158682393
basic-materials,RGLD,-0.349070769305137,-0.4142045071255582,1.2630226937030566,26.637241,-0.2554511002260654,0.26230092190542253
basic-materials,RPM,-0.3585687899126193,-0.4938729630283831,0.1989216690223313,19.441233,-0.4911615459013158,-0.16429546282196356
basic-materials,RS,-0.7858352300529224,0.659598740512687,-0.0263642972210335,23.924381,-0.3443127912712337,-0.2733471721207099
basic-materials,SHW,0.205615045514282,-0.549845339440991,1.0731438723185975,29.662186,-0.1563668393284788,0.4250685377567083
basic-materials,SLGN,0.3430132075947618,-0.6820548967413447,-0.1627914176523053,14.198502,-0.6628909909721734,-0.00779289723743374
basic-materials,SMG,-0.2375211703517241,-0.1938161093514382,0.4882376419269108,17.0,-0.5711258981403806,0.04882120684403524
basic-materials,SOLS,0.2206344995268695,0.1723054429820929,0.0899837801306462,69.28814,1.1416099385804634,0.16293455923163325
basic-materials,SON,-0.3693990867066715,-0.3912616163735682,-0.0900798383606745,8.080196,-0.8633005283208753,-0.2650782279302116
basic-materials,STLD,-0.570837308431852,1.2881611261776196,0.0581038777628364,25.699142,-0.2861792113367683,-0.04576485116031641
basic-materials,SW,0.0284485325321223,-0.635163742990776,-0.4820869435820556,52.847218,0.6030756495785572,-0.2692160830871166
basic-materials,VMC,-0.6890650651139024,-0.656401912875103,0.0884389238310705,30.882702,-0.1163879551591207,-0.3844599709419835
basic-materials,VVV,1.505901675512538,-0.1316669905540377,0.5023908720142417,44.773335,0.3386097734622679,0.8701474603303413
communication-services,CHTR,1.514294676841084,-1.020425101182295,0.3210446803993475,3.9272184,-1.2725457707683547,-0.30262854158347363
communication-services,CMCSA,-0.410172175583956,-0.6982205557100521,0.2306913823276867,4.942157,-1.2201844979426584,-0.3717200290176744
communication-services,DIS,-0.6453919689382647,-0.1696116498113706,0.16385415826184,16.48,-0.6249404653055599,-0.1197285934092433
communication-services,EA,-1.042764609869191,-0.0295317716771735,0.2484895152351895,57.256413,1.4787384034913031,-0.05961292740911987
communication-services,FOX,-0.487591844579147,-0.116061917901963,0.4246646818982456,15.063159,-0.698036116758399,0.011318042687774081
communication-services,FOXA,-0.4407203083367932,-0.0751734590776739,0.4246646818982456,16.836842,-0.6065307789288006,0.04000408288343726
communication-services,FWONA,-0.631345005862821,-0.3640926579656291,-0.0103546595921789,35.768562,0.370167669607586,-0.283575143116306
communication-services,FWONK,-0.6177583093651214,-0.3956770694699016,-0.0103546595921789,38.67249,0.5199830045196475,-0.29994573514224115
communication-services,GOOG,-0.6807872051900299,1.305263127548052,0.8999873579823219,28.938217,0.0177861974292384,0.9465593567282631
communication-services,GOOGL,-0.6739706957452736,1.3354148521628026,0.8999873579823219,29.23435,0.0330638711778689,0.9644874450852277
communication-services,GTM,1.029324511668123,-0.8224555465673734,0.0513527374809701,9.025,-1.009548252333826,-0.33156519454639377
communication-services,IAC,-0.5099970845444148,0.0537266471214232,-0.1104823168406058,25.785275,-0.1448759146094571,-0.06360018025240008
communication-services,IRDM,1.3465607831127395,0.6856343389146682,0.2874039487788811,49.333332,1.0699820453617657,0.6368436777072628
communication-services,META,-0.2859670702220224,-0.120990633883663,0.9591507121383608,22.183207,-0.3307086982721441,0.200553228868379
communication-services,MTCH,-0.3161281855860953,0.4210871979565869,0.6629137604866854,13.664123,-0.7702131979029835,0.41167364187860916
communication-services,NFLX,-0.1007467946328723,-0.5587647243609105,1.0019025114668905,28.580645,-0.0006611500722063,-0.013224881069165483
communication-services,NWS,-0.6345403695392963,-0.0554565467503586,0.1168332336703837,37.56962,0.4630852996128917,-0.06842329172212508
communication-services,NWSA,-0.6261090902151873,-0.0019589576696876,0.1168332336703837,32.772152,0.2155811345131034,-0.03703965962962588
communication-services,NXST,0.8001535146146201,0.1482716257531549,0.119311621288001,39.972458,0.5870491099103331,0.21491270600040757
communication-services,NYT,-0.8394439117853928,0.0615813343490043,0.547470583445053,32.171673,0.184602073567839,0.11011357269313109
communication-services,PINS,0.5115189554183649,-0.1061583410628939,0.1275130267078668,40.187504,0.5981434581557091,0.03935147905309902
communication-services,RDDT,0.660213728743245,2.1964528266738585,0.7356868225956245,40.477142,0.6130860510758022,1.557091026001304
communication-services,SIRI,-0.4414365440457239,0.5796847330501891,0.1391528739008191,12.241526,-0.8436058047444388,0.32202532485749413
communication-services,SPOT,0.1195563136174135,0.5831480455748613,0.7282463213870107,34.79652,0.3200194573314586,0.5750290471011149
communication-services,T,-0.5995783820631396,-0.4474664276771595,0.1923447623482229,8.309211,-1.0464762232619516,-0.2633254500165663
communication-services,TIGO,0.0743587023484539,0.4411273301786415,0.4023087748786119,11.663043,-0.8734500792532882,0.38624832355878597
communication-services,TKO,-0.5880036183815155,-0.0405577496496634,0.1046157151161587,71.45522,2.2112631169334827,-0.05840042935252875
communication-services,TMUS,-0.185192229758548,-0.4050822628529141,0.28627365816452,20.347504,-0.4254136839825597,-0.1614395803304259
communication-services,TTD,1.0663717604744682,-0.4309336196294557,0.3160256064254367,25.431818,-0.1631109668669554,-0.021261646357093156
communication-services,VSNT,0.1352759698633034,-0.0628854054485918,0.1318640604164329,7.111666,-1.1082582664969298,0.021581340815806732
communication-services,VZ,-0.5667008913510437,0.1319614587693098,0.2380665462181283,11.792683,-0.8667618762337921,0.08421724864482975
consumer-cyclical,ABNB,-0.6855806630312876,0.0882307457545752,-0.1144791018982868,32.679012,-0.0164416253079606,-0.157165821655168
consumer-cyclical,ADT,-0.5402409598158585,0.0539344348214618,-0.0020712330906548,9.171053,-0.4739304514116309,-0.11149872564195774
consumer-cyclical,AMZN,-0.6540260612631935,1.1373778411171778,-0.0197558572693586,31.405663,-0.0412222938139028,0.41053526407529234
consumer-cyclical,AN,-0.5141252468122427,-0.123234262795485,-0.1304152101473659,10.302603,-0.4519093358746501,-0.22522236051622113
consumer-cyclical,APTV,-0.0306165479697679,-0.2523289465821364,-0.1805696898603787,34.14286,0.0120463477701873,-0.1788611875076228
consumer-cyclical,ARMK,-0.7644088410837976,1.2664618466518387,-0.2802851740489125,38.25373,0.0920480650849399,0.3882413488199272
consumer-cyclical,AS,-0.2257250545318654,-0.0424423505954065,-0.1095994197113828,43.53086,0.1947463898904435,-0.10498419504168804
consumer-cyclical,AZO,-0.5597194743461125,-0.2482906817672598,0.2604491756385669,23.875107,-0.1877745837999434,-0.21082087347624082
consumer-cyclical,BBWI,0.8585763813226234,-0.5627805950211977,0.4645181034142184,5.7106113,-0.5412741715165192,0.039118361463330906
consumer-cyclical,BBY,-0.2575851923774604,1.637934157122577,-0.0193480809771619,12.228175,-0.4144357434688569,0.7689457258370848
consumer-cyclical,BFAM,0.3437888506734723,-1.1808631123588853,-0.1314237155476017,20.406628,-0.2552747179492003,-0.5473416463553186
consumer-cyclical,BIRK,0.2737608552893031,-0.2860785450552096,0.0638761797643898,18.556055,-0.2912887534249789,-0.06162208651333834
consumer-cyclical,BKNG,-0.227608337499955,0.64570725026124,0.8543434156538653,21.24802,-0.2389003726318115,0.46969951415272676
consumer-cyclical,BLD,0.1388430821748142,0.3358114514373853,0.0740952106366235,22.971283,-0.2053639194272653,0.22485728054264
consumer-cyclical,BROS,0.3094662088572249,-0.4584907961066103,-0.2606009128392727,81.4375,0.9324482139890152,-0.215709224557813
consumer-cyclical,BURL,-0.3829042503621417,0.2018152296345497,-0.0321478639935656,34.123028,0.011660396850361,-0.002259168443142907
consumer-cyclical,BWA,-0.3838860114895254,1.6033894414580885,-0.1433573051483439,38.26744,0.0923148756492208,0.6902034908329796
consumer-cyclical,BYD,-0.905113017413944,-0.3400912653184555,0.3552924884610354,3.5061889,-0.584174476728581,-0.32463881897618385
consumer-cyclical,CAVA,0.7411519742288576,-0.3051084949214009,-0.0410443307124834,154.65385,2.357312959290616,0.02437731887012248
consumer-cyclical,CCL,0.0328121929299177,0.0032514384678098,-0.1011678219278771,11.444934,-0.4296784110967129,-0.013258596327564194
consumer-cyclical,CHDN,-0.2662992893678195,-0.201724893237932,0.076323216796122,15.675876,-0.3473399703629717,-0.15413251429713515
consumer-cyclical,CHWY,0.6226266097889726,-0.7302417560705096,-0.0951229523926011,39.865387,0.1234125518535174,-0.23642765398624896
consumer-cyclical,CMG,0.233348644984508,-0.660077176613869,0.3908824644894488,30.17431,-0.0651856773849408,-0.18822317125774155
consumer-cyclical,COLM,-0.3141539292923908,0.1251272055335922,-0.2107338316357505,20.252396,-0.258276229761758,-0.06513279440093428
consumer-cyclical,CVNA,0.5753602239841142,0.034904744960913,0.2905378580041565,39.46821,0.1156830828900324,0.2326187191232089
consumer-cyclical,DASH,0.2726726812645774,-0.2430864263814993,-0.3167272284503366,76.309525,0.8326525974049054,-0.12769985705274514
consumer-cyclical,DDS,-0.3689593212662215,0.2576176306234423,0.200749397851996,13.360286,-0.3924037103004711,0.08366882704244433
consumer-cyclical,DECK,0.0625220671909593,-0.0786732894628826,0.8321580575269802,15.151988,-0.3575353644475795,0.1677657029444849
consumer-cyclical,DHI,-0.2920353390767929,0.047979520805642,-0.0580303863440364,13.495774,-0.3897669758195605,-0.06375743828565689
consumer-cyclical,DKS,-0.5311941533424139,0.139853157926423,-0.1048991123678787,23.170341,-0.2014900479973149,-0.08886909083764591
consumer-cyclical,DPZ,-0.3021908522166281,-1.0563817725534943,1.2836287954801222,18.222221,-0.2977855030906343,-0.3227834521501391
consumer-cyclical,DRI,-0.5631710359528861,0.1092762367740714,0.1007539639069005,21.422104,-0.2355125206790566,-0.06528912078937885
consumer-cyclical,DUOL,1.497782609612437,-0.3825075574212885,0.0024272480311295,12.197941,-0.4150241279036102,0.18894466579162425
consumer-cyclical,EBAY,-0.3958732598234414,1.0945540350908207,0.2287371835820598,26.732101,-0.1321745705769652,0.5121927783393594
consumer-cyclical,ETSY,0.6053607115445777,0.5828368325970006,0.2224423210542159,23.900385,-0.1872826481731096,0.505447672434839
consumer-cyclical,EXPE,0.2303499015682701,0.1889997675038668,0.0483225820719739,18.962013,-0.2833883972576317,0.16714828022154876
consumer-cyclical,FIVE,-0.5511327424543042,1.0035479377770475,-0.0287060033409845,33.97833,0.0088444263886315,0.36628492174321464
consumer-cyclical,FND,0.4406505612585107,-0.6783959588264952,-0.3459633292849637,26.201086,-0.1425086633407581,-0.3144501748757543
consumer-cyclical,GAP,0.0778761201831217,-0.6881669979886725,-0.16183734705938,10.98122,-0.4387027578512668,-0.370080640326221
consumer-cyclical,GM,-0.5773758782509893,0.4526231501334148,-0.3282635448314781,28.755474,-0.0927976710962463,0.008040943129897676
consumer-cyclical,GME,0.221950980251621,-0.6546362649183356,-0.3014378444577332,28.51948,-0.0973903547072526,-0.3481308257152611
consumer-cyclical,GNTX,-0.5333396577321096,0.3861215534813298,0.1937113410444682,13.398877,-0.3916526901337197,0.10571761811793219
consumer-cyclical,GRMN,-0.5344201859459127,-0.0966912814751268,0.3145641150667139,26.835005,-0.1301719539243935,-0.11413629714295759
consumer-cyclical,HD,-0.4722113006802015,-0.5890661611271409,0.6227994232792322,22.219305,-0.219998177232283,-0.2794032127877512
consumer-cyclical,HLT,-0.961796486417184,0.3212653148021334,0.6274381286572318,49.019844,0.3015676093192263,0.06259617669036316
consumer-cyclical,HOG,0.1088950299555939,-0.4595158281239896,-0.4112553830852639,12.295337,-0.413128702541196,-0.30248312362439533
consumer-cyclical,HRB,0.380556126241911,0.2992865274656878,0.7811082316180068,6.957066,-0.5170168934816884,0.4313390896662739
consumer-cyclical,KMX,0.832486180172587,-0.6888759151624747,-0.4521974907764437,24.005955,-0.1852281484450913,-0.24376462337108443
consumer-cyclical,LAD,-0.2579520651259694,-0.4040070290122206,-0.2987597979885687,9.650383,-0.4646022013914453,-0.3422302194512233
consumer-cyclical,LEA,-0.6141309136182909,1.3856132713848823,-0.2572530284467758,13.993995,-0.3800710876980015,0.49320005982681964
consumer-cyclical,LEN,-0.0377155019779315,-0.5060825395140404,-0.2921706249680531,12.785612,-0.4035874516730123,-0.336499927821432
consumer-cyclical,LEN-B,-0.0437846227649843,-0.478345766231008,-0.2921706249680531,12.492086,-0.4092997666030709,-0.32384117540019447
consumer-cyclical,LKQ,-0.1355002298207444,-1.0056741880473783,-0.2565044938626752,13.575,-0.3882251571641473,-0.6094341810043634
consumer-cyclical,LOPE,-0.4156791596703829,-0.5239398238356479,0.7684937641701515,19.612015,-0.270738696279974,-0.19788960347590293
consumer-cyclical,LOW,-0.5757836974759086,-0.6287215186997752,0.2708979513047558,18.17667,-0.2986719719464737,-0.4075232277826787
consumer-cyclical,LULU,0.7422597501279031,-1.5076442447058478,0.5956198981633212,9.591251,-0.4657529703401729,-0.44477313748108316
consumer-cyclical,LVS,0.1117631746741079,0.2092575980915515,0.489222421318549,18.239853,-0.2974423664116117,0.24884264776711365
consumer-cyclical,M,-0.0702344803560589,1.2424121805367916,-0.2791585602206782,8.905172,-0.4791047664839547,0.5543500130372181
consumer-cyclical,MAR,-0.8249986149588234,0.5094751976099342,0.5915711054707722,38.614014,0.0990595586911664,0.18589843744762027
consumer-cyclical,MAT,-0.0004595625299654,-0.0387537286811833,-0.307557942250183,9.673078,-0.4641605335755187,-0.09095824619672759
