Ticker,MaxDrawdown,DebtToEquity,ReturnSD,PriceChange12M,RSI,EarningsGrowth,ROE,ROA,OperatingMargin,EBITDAMargin,LogMarketCap,RevenueGrowth,PE,Sector,MaxDrawdown_ZScore,DebtToEquity_ZScore,ReturnSD_ZScore,PriceChange12M_ZScore,RSI_ZScore,EarningsGrowth_ZScore,ROE_ZScore,ROA_ZScore,OperatingMargin_ZScore,EBITDAMargin_ZScore,LogMarketCap_ZScore,RevenueGrowth_ZScore,PE_ZScore,Risk_Score,Momentum_Score,Quality_Score,Size_Score,Growth_Score
ALLE,0.298405620390051,105.863,0.015757257728662166,-0.097557604,38.74098683265765,-0.07,0.34179002,0.11034001,0.18876,0.24299,23.139948416786666,0.097,17.818304,industrials,0.22925600576036975,-0.07696240157491935,-0.7828293908821118,-0.5857530757666263,-1.0419653193779357,-0.2667689001392154,-0.06438212842075114,0.9476353394835063,0.48891295206556734,0.5119547939203165,-0.5017515602949302,-0.07787443909657955,-0.5363384283411499,-0.21017859556555382,-0.6314957650945924,0.4710302392621597,-0.5017515602949302,-0.07787443909657955
FBIN,0.4793413479134889,125.712,0.027175288114959402,-0.2700659,45.27899402633498,-0.524,0.11653,0.0596,0.06546,0.18267,22.225429652883058,-0.021,16.733334,industrials,1.7212993742949436,-0.05564041668553446,0.7000757251151843,-0.9002551274948399,-0.37951883456343155,-0.47390929441877133,-0.09938693274675452,-0.27134612775151873,-0.7200934346633544,-0.058980337169092116,-1.3160962200415556,-0.09005252368160782,-0.5649703336502699,0.7885782275748645,-0.5845610854923476,-0.2874517080826799,-1.3160962200415556,-0.09005252368160782
OSK,0.3306170676850855,25.677,0.024441103829394607,0.27162087,39.57550220675664,-0.605,0.13284001,0.05444,0.036199998,0.104540005,22.804301882728655,0.002,14.310691,industrials,0.4948800314035722,-0.16309896665830978,0.3449763140986145,0.08730085971999513,-0.9574102309971595,-0.5108660607990445,-0.09685240083734087,-0.3953103203272144,-1.0069995927631195,-0.7984889402417019,-0.8006322102729492,-0.08767882922859384,-0.6289028709313033,0.22558579294795897,-0.460325144025403,-0.5744128135423441,-0.8006322102729492,-0.08767882922859384
GWW,0.15700148484790183,64.034,0.015672494946823726,0.144961,59.593723266531406,0.182,0.46129,0.19511,0.16723,0.16785999,24.799311650144315,0.101,33.560787,industrials,-0.9367995080225437,-0.12189551185443369,-0.7938378712050606,-0.1436143478977812,1.0708836788216771,-0.15179229362280988,-0.04581215130336779,2.9841553714602127,0.27780259110633204,-0.19915863625373167,0.9758491637150621,-0.07746162266996844,-0.1209008746885764,-0.6175109636940127,0.2584923457670287,0.7542467937523614,0.9758491637150621,-0.07746162266996844
CNH,0.3318840366343616,333.719,0.021045327192928977,-0.21930504,38.21933575029657,-0.944,0.0484,0.00945,0.026919998,0.0598,23.251862377705493,-0.001,31.59375,industrials,0.5053277889845718,0.16780268427100145,-0.09604673248936861,-0.8077123629573674,-1.0948202514043122,-0.6655369719461138,-0.10997415243505344,-1.4761531544319726,-1.0979937474171697,-1.2219577834050939,-0.40209637548896265,-0.08798844154855219,-0.17281015985179343,0.1923612469220682,-0.8560231954359311,-0.9765197094223225,-0.40209637548896265,-0.08798844154855219
SITE,0.32183767788990714,68.728,0.026009042983545852,-0.047154725,38.19637938575992,,0.09993,0.04493,-0.02755,0.08003,22.337249586986584,0.001,33.53846,industrials,0.42248288517395804,-0.11685317233754254,0.5486108215048752,-0.4938629509084635,-1.0971462450199407,0.0,-0.10196652832617273,-0.6237792101324212,-1.6320941161690885,-1.030478710097091,-1.2165247625880882,-0.08778203333524662,-0.12149007489672652,0.2847468447804302,-0.5303363986428015,-0.8470796411811934,-1.2165247625880882,-0.08778203333524662
ALSN,0.24127332045455283,228.639,0.017389189901479196,0.05048287,35.58237508097589,-0.404,0.30437002,0.08254,0.19488001,0.30219,22.932877448329208,0.836,17.087093,industrials,-0.2418718937134697,0.05492474723757089,-0.57088385507979,-0.3158586191439878,-1.362003396701995,-0.4191585294109592,-0.07019709628712639,0.27976599970709776,0.5489221262492238,1.0722890074563407,-0.6861404914001934,-0.00160660428017372,-0.5556347813398383,-0.2526103338518963,-0.6990068484189808,0.45769500928138396,-0.6861404914001934,-0.00160660428017372
FTAI,0.3114757951789368,809.979,0.03979187007259109,1.1028357,50.186159656231304,0.483,2.3329,0.11344,0.22479999,0.35992,23.976127359539248,0.655,50.2251,industrials,0.33703608814801617,0.679405713311177,2.3386415108415997,1.6026991073608987,0.11768689275223138,-0.01445912472821442,0.2450310343830722,1.022109711061555,0.8422996356636733,1.6187095167035481,0.24283442689309923,-0.02028654758432724,0.31886338778645873,1.1183611041002643,0.5686422917949719,0.932037474452962,0.24283442689309923,-0.02028654758432724
OTIS,0.28387008526786456,,0.014703289255027807,-0.25048923,36.90050972451244,0.426,,0.13346,0.15395,0.17021,24.052717120469083,0.064,19.353722,industrials,0.10939217851071686,0.0,-0.9197124774368582,-0.8645646533334919,-1.228446850302438,-0.040465738106925185,-1.725256871380338e-17,1.5030715590005914,0.14758681806691548,-0.1769155449504918,0.311034736461658,-0.08128017461612136,-0.495819388380673,-0.2701067663087138,-0.7111590805809517,0.3684357080292538,0.311034736461658,-0.08128017461612136
WAB,0.13289924907887277,62.03,0.014761009895667051,0.26173604,45.45388285585203,0.128,0.11305001,0.06041,0.18983,0.219,24.49618691228736,0.13,36.216103,industrials,-1.1355528528608552,-0.1240482277453263,-0.9122160677754076,0.06927970138692226,-0.3617986811719008,-0.17643013787632536,-0.09992771388051473,-0.25188663240533393,0.49940473498365273,0.28488692596880927,0.7059279535069303,-0.07446870357703775,-0.050828194081931524,-0.7239390494605297,-0.15631637255376796,0.10811932866665333,0.7059279535069303,-0.07446870357703775
FIX,0.13769865145123103,45.489,0.03345383423784449,2.7664812,59.8276153353066,0.388,0.53294,0.17266001,0.07885,0.1713,24.88721561490334,0.01,52.916065,industrials,-1.0959757246694168,-0.14181672752140143,1.515495534982286,4.63571221589227,1.094582181162873,-0.05780348035939902,-0.03467793303437296,2.4448152777233045,-0.5887990671183402,-0.16659858054585885,1.0541243474483213,-0.08685319637537159,0.3898768306191237,0.09256769426382257,1.890830305565248,0.4136849242561831,1.0541243474483213,-0.08685319637537159
KBR,0.4318160367206094,176.904,0.0199177344772615,-0.36193746,42.23512919305072,-0.087,0.29149,0.049829997,0.06708,0.085030004,22.168393113146184,-0.047,9.870206,industrials,1.3293932185928181,-0.0006494826103976364,-0.24249169280680535,-1.0677473280755685,-0.6879304803948448,-0.2745252585153221,-0.0721986169289829,-0.5060613473943725,-0.704208679217281,-0.983153147444777,-1.3668851194916767,-0.09273583045458016,-0.7460854161137213,0.36208401439187177,-0.6767343556619118,-0.5664054477463534,-1.3668851194916767,-0.09273583045458016
SNA,0.08467873497373368,21.731,0.013395664138434113,0.1255219,46.66438171096629,0.04,0.18202,0.099180005,0.24566,0.26888,23.667345408375734,0.052,18.938532,industrials,-1.5331918337447208,-0.1673377974494586,-1.08953896323168,-0.17905401645580768,-0.23914804961280697,-0.21658069888205428,-0.08920996199397753,0.6795266168157296,1.0468404735974053,0.7570063612927432,-0.03212431958774897,-0.08251862389595474,-0.5067760791327617,-0.9300228648086198,-0.21159425498355633,0.5985408724279752,-0.03212431958774897,-0.08251862389595474
AMTM,0.40047959680691636,83.5,0.02883671005260833,0.093176484,38.3561586170938,12.366,0.028870001,0.02864,0.04112,0.07028,22.459418824405905,-0.004,38.716663,industrials,1.0709847328466777,-0.10098494921365753,0.9158512142158662,-0.2380233526087924,-1.0809570321592008,5.407235380170383,-0.11300906201857404,-1.0151312832056933,-0.9587569825383095,-1.122763483441284,-1.1077376386879951,-0.08829805386851053,0.015160540297611992,0.6286169992829621,1.36275166513413,-0.8024152028009652,-1.1077376386879951,-0.08829805386851053
FCN,0.23135328318919218,60.6,0.0170769302038045,-0.0809924,37.087939188054314,0.092,0.13994001,0.07191,0.08534,0.11494,22.259034764180992,0.095,18.344048,industrials,-0.32367511754321276,-0.12558434736806903,-0.6114382666144871,-0.5555528432786976,-1.2094560499567217,-0.192855367378669,-0.09574907983650537,0.024390153373833035,-0.525161991288083,-0.7000518960000874,-1.2861721288082038,-0.07808084730988513,-0.5224642636869768,-0.3535659105085896,-0.6526214202046962,-0.3241432034377107,-1.2861721288082038,-0.07808084730988513
WM,0.1813541856079534,228.408,0.011595996337324426,-0.084569156,41.55577693465313,0.133,0.29936,0.065960005,0.1752,0.3015,25.194942982763088,0.035,31.534008,industrials,-0.7359807633098111,0.054676604836973966,-1.3232689936372661,-0.5620736722858498,-0.7567640717621789,-0.17414885600099983,-0.07097563998862018,-0.1185529330611334,0.3559516657391748,1.0657580850350592,1.32814402704987,-0.08427309370905203,-0.17438672628863267,-0.6681910507033678,-0.49766220001634287,0.3080452944311201,1.32814402704987,-0.08427309370905203
CPRT,0.3981740201409199,1.059,0.014602026291377308,-0.36028022,55.496283618323105,0.023,0.17607,0.11336,0.37530997,0.42279,24.2060491395926,0.021,21.251572,industrials,1.051972344181192,-0.18954385677906532,-0.9328639021377931,-1.064725992914933,0.6557213195143792,-0.22433705725816097,-0.09013457607214248,1.020187785595265,2.318110885350958,2.2137806654368224,0.44757114869274167,-0.08571795120219099,-0.44573591926086925,-0.0234784715785555,-0.21111391021957163,1.3654861900777258,0.44757114869274167,-0.08571795120219099
KEX,0.3383266098097987,34.684,0.022112036989620273,0.29263234,52.94350966936841,0.128,0.10689,0.052729998,0.13315,0.22805001,22.759888124243044,0.074,22.086287,industrials,0.5584549337131572,-0.15342356145408337,0.04249112047486144,0.12560713587048125,0.39706817354561114,-0.17643013787632536,-0.10088496295070581,-0.43639152521729685,-0.05636559753699034,0.37054622049318686,-0.8401809964429022,-0.08024813354959355,-0.4237081389166181,0.1491741642446451,0.11541505717992236,-0.05577396630295153,-0.8401809964429022,-0.08024813354959355
LUV,0.3349131106180609,93.033,0.028056712087834085,0.2510717,52.39498725787252,,0.10062,0.01936,0.04552,0.076620005,23.71756184115922,0.128,27.24,industrials,0.5303063259050573,-0.09074450979854815,0.814549769632279,0.04983740853436717,0.3414905743516511,0.0,-0.1018593041725704,-1.2380746372953166,-0.9156132023144063,-1.0627546706796378,0.01259153041209597,-0.07467511179034332,-0.2877038045973455,0.4180371952462627,0.1304426609620061,-0.8295754536154829,0.01259153041209597,-0.07467511179034332
AAL,0.3739237292817777,,0.030548446122512257,0.18986249,63.136037939405725,,,0.01846,-0.00065,0.07308,22.93813219359481,0.108,44.67742,industrials,0.8519980983168379,0.0,1.1381612002134427,-0.061753874760571266,1.4297994514169932,0.0,-1.725256871380338e-17,-1.2596962987910774,-1.368328732527499,-1.0962611895578234,-0.6814613378231722,-0.07673919392339895,0.17246242882418392,0.6633864328434269,0.4560151922188073,-0.9310715552190999,-0.6814613378231722,-0.07673919392339895
GTES,0.24991082039928797,63.472,0.023170168570963077,0.14232385,46.38728427259201,-0.04,0.07683,0.04527,0.12866001,0.21014,22.550211718108017,0.004,25.768421,industrials,-0.17064480832984694,-0.12249921760826685,0.179914886420925,-0.14842216934722074,-0.2672242230651182,-0.2530812088872624,-0.10555620651198963,-0.6156110269006894,-0.10039176612051824,0.20102609603757313,-1.0268899720817244,-0.08747242101528828,-0.3265381600015406,-0.03774304650572959,-0.22290920043320042,-0.15513322587390602,-1.0268899720817244,-0.08747242101528828
